Coach_id,Coach_name,Number_of_Seats,Train_id,Train_name
103821,Genral,60,10382,"Chennai Mail"
103822,AC_1,60,10382,"Chennai Mail"
103823,AC_2,60,10382,"Chennai Mail"
109301,Genral,80,10930,"Gujarat Express"
109302,AC_1,70,10930,"Gujarat Express"
119631,Genral,70,11963,"Jhelum Express"
119632,AC_1,40,11963,"Jhelum Express"
119633,AC_2,30,11963,"Jhelum Express"
127031,Genral,200,12703,"Rajdhani Express"
144841,Genral,90,14484,"Shatabdi Express"
144842,AC_1,100,14484,"Shatabdi Express"
165191,Genral,100,16519,"Shan-e-Punjab Express"
165192,AC_1,70,16519,"Shan-e-Punjab Express"
168471,Genral,60,16847,"Goa Express"
168472,AC_1,50,16847,"Goa Express"
168473,AC_2,50,16847,"Goa Express"
